GraphQL Duration,GraphQL Size (bytes),REST Duration,REST Size (bytes),Has Filter
865.2919999999999,232,815.249,232,False
819.345,232,863.684,232,False
776.518,232,735.031,232,False
804.9849999999999,232,775.2959999999999,232,False
735.25,232,849.247,232,False
810.295,232,830.0079999999999,232,False
912.435,232,816.963,232,False
820.115,232,829.862,232,False
799.806,232,919.9929999999999,232,False
715.182,232,818.809,232,False
327.931,232,892.069,232,True
521.158,232,814.823,232,True
405.021,232,822.781,232,True
400.916,232,892.9209999999999,232,True
370.039,232,778.111,232,True
409.265,232,825.808,232,True
400.515,232,824.434,232,True
404.933,232,926.143,232,True
332.01599999999996,232,895.135,232,True
399.746,232,824.131,232,True
